"video_id","question","choices","answer","correct_choice","pred_answer","pred_choice","qa_acc","task"
3,"What might the speaker explain next?","['The area of different shapes.', 'How to measure the diameter.', 'The concept of length in 2-dimensional shapes.', 'How to calculate perimeter.']","How to calculate perimeter.","D","D) How to calculate perimeter.","D",100.0,"Prospective Reasoning"
3,"What will the speaker most likely explain next?","['How to calculate the perimeter of the shape.', 'How to convert meters into centimeters.', 'The differences between perimeter and area.', 'How to measure the perimeter accurately.']","How to calculate the perimeter of the shape.","A","A) How to calculate the perimeter of the shape.","A",100.0,"Prospective Reasoning"
3,"What might the speaker explain next?","['How to calculate the area of the rectangle.', 'How to find the perimeter of a rectangle.', 'How to label the units.', 'How to measure with a ruler.']","How to find the perimeter of a rectangle.","B","B) How to find the perimeter of a rectangle.","B",100.0,"Prospective Reasoning"
3,"What might the speaker discuss next?","['How to calculate the perimeter of any regular polygon.', 'The significance of repeated addition.', 'The properties of regular polygons.', 'The importance of perimeter in geometry.']","How to calculate the perimeter of any regular polygon.","A","A) How to calculate the perimeter of any regular polygon.","A",100.0,"Prospective Reasoning"
3,"What might the speaker ask the students to do next?","['Calculate the area of the shape.', 'Determine the perimeter of the shape.', 'Measure each side length.', 'Convert the measurements to centimeters.']","Determine the perimeter of the shape.","B","B) Determine the perimeter of the shape.","B",100.0,"Prospective Reasoning"
4,"What is the primary color of the control panel shown right now?","['Black.', 'White.', 'Blue.', 'Grey.']","Black.","A","D) Grey.","D",0.0,"Attribute Recognition"
4,"What is the primary color of the mountains visible right now?","['White.', 'Green.', 'Brown.', 'Red.']","White.","A","A) White.","A",100.0,"Attribute Recognition"
4,"What is the main object visible outside the aircraft right now?","['A mountain.', 'An ocean.', 'A forest.', 'A desert.']","A mountain.","A","A) A mountain.","A",100.0,"Object Recognition"
4,"What is the predominant weather condition visible right now?","['Sunny.', 'Cloudy.', 'Foggy.', 'Rainy.']","Sunny.","A","A) Sunny.","A",100.0,"Attribute Recognition"
4,"What color is the body of water visible right now?","['Green.', 'Blue.', 'Brown.', 'Red.']","Green.","A","B) Blue.","B",0.0,"Attribute Recognition"
5,"What colo was added to the eyes of the sketched portrait?","['Green.', 'Brown.', 'Blue.', 'Hazel.']","Blue.","C","C) Blue.","C",100.0,"Attribute Recognition"
5,"What action is the paintbrush performing right now?","['Adding details to the hair.', 'Coloring the lips.', 'Adding details to the nose.', 'Shading the background.']","Adding details to the nose.","C","C) Adding details to the nose.","C",100.0,"Action Recognition"
6,"What action is the person taking with the meat?","['He seasons the meat.', 'He lowers the meat into the frying pan.', 'He cuts the meat into pieces.', 'He removes the meat from the frying pan.']","He lowers the meat into the frying pan.","B","A) He seasons the meat.","A",0.0,"Action Recognition"
6,"What type of fruit is being squeezed right now?","['Blueberry.', 'Orange.', 'Yellow Plum.', 'Apple.']","Yellow Plum.","C","C) Yellow Plum.","C",100.0,"Object Recognition"
6,"What is the man using to cook food in the pan?","['A wooden spoon.', 'A metal spatula.', 'Red kitchen tongs.', 'A fork.']","Red kitchen tongs.","C","C) Red kitchen tongs.","C",100.0,"Object Recognition"
6,"What is simmering in a pan on the right side of the kitchen counter right now?","['Cooked food.', 'Vegetables.', 'Sausage slices.', 'Leafy greens.']","Sausage slices.","C","B) Vegetables.","B",0.0,"Object Recognition"
6,"What is this person doing now right now?","['Dice the green onions finely.', 'Chop the cilantro finely.', 'Climbing ropes and carabiners.', 'First aid kits and maps.']","Chop the cilantro finely.","B","B) Chop the cilantro finely.","B",100.0,"Action Recognition"
7,"What object is visible on the left side of the frame next to the parked cars?","['A red mailbox.', 'A blue parking meter.', 'A green trash can.', 'A yellow bike rack.']","A blue parking meter.","B","B) A blue parking meter.","B",100.0,"Object Recognition"
7,"What distinct feature is highlighted on the ornate stone building right now?","['Blue doors.', 'Stone carvings.', 'Red-framed windows.', 'Iron railings.']","Stone carvings.","B","B) Stone carvings.","B",100.0,"Attribute Recognition"
7,"What color is the shirt of the man who is slightly ahead in the group of four people?","['Green.', 'Blue.', 'White.', 'Red.']","White.","C","C) White.","C",100.0,"Object Recognition"
7,"What type of umbrellas are seen at the outdoor cafés right now?","['Blue and white.', 'Red and brown.', 'Green and yellow.', 'Black and white.']","Red and brown.","B","B) Red and brown.","B",100.0,"Attribute Recognition"
8,"Which of the following options best summarizes the actions just now?","['The individual cleans the espresso machine and places the portafilter in position.', 'The individual grinds coffee beans, tamps the ground coffee, and brews an espresso shot.', 'The individual serves a coffee beverage, cleans up the work area, and restocks coffee supplies.', 'The individual steams the milk using the steam wand, and prepares it for a coffee beverage.']","The individual steams the milk using the steam wand, and prepares it for a coffee beverage.","D","D) The individual steams the milk using the steam wand, and prepares it","D",100.0,"Clips Summarize"
8,"Which of the following options best summarizes the actions just now?","['The individual prepares a hot beverage by steaming milk and selecting a paper cup.', 'The individual clears the espresso machine area by wiping it clean, rearranging cups, and replacing a filter.', 'The individual operates the deep fryer to prepare a food item, setting the timer and monitoring the cooking process.', 'The individual brews an espresso shot by grinding beans, tamping them, and inserting the portafilter into the machine.']","The individual brews an espresso shot by grinding beans, tamping them, and inserting the portafilter into the machine.","D","D) The individual brews an espresso shot by grinding beans, tamping them","D",100.0,"Clips Summarize"
8,"Which of the following options best summarizes the actions just now?","['The individual brews an espresso shot, mixes it with hot water to create an Americano, and places it on the counter.', 'The individual dismantles the espresso machine, cleans each part thoroughly, and reassembles it.', 'The individual heats milk on the stovetop, pours it into a blender, and prepares a smoothie.', 'The individual operates the espresso machine, froths milk using the steam wand.']","The individual operates the espresso machine, froths milk using the steam wand.","D","D) The individual operates the espresso machine, froths milk using the steam wand","D",100.0,"Clips Summarize"
8,"Which of the following options best summarizes the actions just now?","['The individual inserts the portafilter into the espresso machine and begins making an espresso shot.', 'The individual cleans the coffee grinder and refills it with new coffee beans.', 'The individual inspects the coffee machine, runs a cleaning cycle, and restocks the supply tray.', 'The individual measures ground coffee, fills the portafilter, and use spoon to adjust it.']","The individual measures ground coffee, fills the portafilter, and use spoon to adjust it.","D","D) The individual measures ground coffee, fills the portafilter, and uses","D",100.0,"Clips Summarize"
8,"Which of the following options best summarizes the actions just now?","['The individual rinses out a used cup and places it in the dishwasher.', 'The individual refills the coffee machine with water and prepares it for brewing.', 'The individual measures out coffee grounds and places them into the portafilter.', 'The individual fills a glass with ice cubes from a container.']","The individual fills a glass with ice cubes from a container.","D","D) The individual fills a glass with ice cubes from a container.","D",100.0,"Clips Summarize"
9,"What is the gloved hand reaching towards at the beginning of the video?","['Yogurt containers.', 'Milk cartons.', 'Juice bottles.', 'Cheese blocks.']","Yogurt containers.","A","A) Yogurt containers.","A",100.0,"Object Recognition"
9,"What color is the packaging of the yogurt containers?","['Red and white.', 'Blue and white.', 'Green and white.', 'Yellow and white.']","Blue and white.","B","B) Blue and white.","B",100.0,"Attribute Recognition"
9,"What does the individual do after picking up the yogurt container?","['Opens it.', 'Discards it.', 'Hands it to someone else.', 'pick it up on the shelf.']","pick it up on the shelf.","D","D) pick it up on the shelf.","D",100.0,"Action Recognition"
9,"What does the individual do after picking up the large cardboard box?","['Places it back on the shelf.', 'Moves it to another room.', 'Examines it and sets it aside.', 'Take out the orange juice inside and put it on the shelf.']","Take out the orange juice inside and put it on the shelf.","D","C) Examines it and sets it aside.","C",0.0,"Action Recognition"
10,"Which of the following options best summarizes the actions of the barista taken just now?","['The barista prepared a cappuccino, stirred it, and served it to a customer.', 'The barista steamed milk, prepared two lattes, and began making a new latte.', 'The barista brewed coffee, added sugar and cream, and handed it to a customer.', 'The barista made a latte, added cocoa powder, and served it to a customer.']","The barista steamed milk, prepared two lattes, and began making a new latte.","B","B) The barista steamed milk, prepared two lattes, and","B",100.0,"Clips Summarize"
10,"Which of the following options best summarizes the actions taken just now?","['The worker prepared an espresso by measuring coffee grounds, tamping them, and placing them in the machine.', 'The worker prepared a cup of tea by measuring loose leaves, placing them in a pot, and adding hot water.', 'The worker cleaned the coffee machine and sorted cups for the next order.', 'The worker brewed a fresh pot of coffee by measuring water and coffee grounds, then starting the machine.']","The worker prepared an espresso by measuring coffee grounds, tamping them, and placing them in the machine.","A","A) The worker prepared an espresso by measuring coffee grounds, tamping them,","A",100.0,"Clips Summarize"
10,"Which of the following options best summarizes the actions taken just now?","['The individual cleaned the coffee machine and placed a cup on the scale.', 'The individual measured cocoa powder into a pitcher.', 'The individual selected a cup, poured coffee grounds into it, and added hot water.', 'The individual brewed fresh coffee by placing a new filter and coffee grounds into the machine.']","The individual measured cocoa powder into a pitcher.","B","C) The individual selected a cup, poured coffee grounds into it, and added","C",0.0,"Clips Summarize"
10,"Which of the following options best summarizes the actions taken just now?","['The individual placed the milk jug under the steamer, wiped the machine, and steamed the milk.', 'The individual brewed a fresh cup of coffee, cleaned the counter, and served the drink.', 'The individual cleaned the work area, steamed milk, and prepared a milk-based beverage.', 'The individual restocked supplies, brewed coffee, and served it to a customer.']","The individual cleaned the work area, steamed milk, and prepared a milk-based beverage.","C","C) The individual cleaned the work area, steamed milk, and prepared a","C",100.0,"Clips Summarize"
10,"Which of the following options best summarizes the actions taken just now?","['The individual brewed a fresh cup of tea, added sugar, and served it to a customer.', 'The individual steamed milk, prepared a latte, and added a lid to the cup.', 'The individual prepared an espresso shot, cleaned the coffee machine, and discarded used grounds.', 'The individual restocked the cups, cleaned the counter, and replaced the lids.']","The individual steamed milk, prepared a latte, and added a lid to the cup.","B","B) The individual steamed milk, prepared a latte, and added a","B",100.0,"Clips Summarize"
11,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '3.', '4.', '0.']","0.","D","D)","D",100.0,"Counting"
11,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '3.', '4.', '0.']","0.","D","D)","D",100.0,"Counting"
11,"How many times in total have movie clips been inserted during this person's explanation so far?","['3.', '5.', '6.', '0.']","5.","B","A)","A",0.0,"Counting"
11,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '4.', '3.', '6.']","6.","D","C)","C",0.0,"Counting"
11,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '9.', '8.', '6.']","9.","B","D)","D",0.0,"Counting"
12,"What are the patterns on the second fabric piece retrieved from the drawer?","['Polka dots.', 'Stripes.', 'Floral patterns.', 'Geometric shapes.']","Floral patterns.","C","C) Floral patterns.","C",100.0,"Attribute Recognition"
12,"What pattern is on the stocking the person is wearing?","['Stripes.', 'Polka dots.', 'Checkered.', 'Floral.']","Checkered.","C","C) Checkered.","C",100.0,"Attribute Recognition"
12,"What is the person putting on their feet?","['Red boots.', 'Red shoes with a low heel and a strap.', 'Black sneakers.', 'Sandals.']","Red shoes with a low heel and a strap.","B","B) Red shoes with a low heel and a strap.","B",100.0,"Object Recognition"
12,"What is the focus of the person when the camera cuts to a close-up of their face?","['They are smiling and talking.', 'They are eating.', 'They appear focused, possibly adjusting their appearance.', 'They are looking at the camera and waving.']","They appear focused, possibly adjusting their appearance.","C","C) They appear focused, possibly adjusting their appearance.","C",100.0,"Attribute Recognition"
13,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '3.', '4.', '0.']","0.","D","D)","D",100.0,"Counting"
13,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '3.', '4.', '1.']","1.","D","A)","A",0.0,"Counting"
13,"How many times in total have movie clips been inserted during this person's explanation so far?","['3.', '4.', '6.', '0.']","6.","C","A)","A",0.0,"Counting"
13,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '8.', '3.', '7.']","8.","B","C) 3.","C",0.0,"Counting"
13,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '8.', '3.', '7.']","8.","B","C) 3.","C",0.0,"Counting"
14,"How many times in total have movie clips been inserted during this person's explanation so far?","['1.', '2.', '3.', '4.']","1.","A","D)","D",0.0,"Counting"
14,"How many times in total have movie clips been inserted during this person's explanation so far?","['6.', '5.', '4.', '0.']","6.","A","B)","B",0.0,"Counting"
14,"How many times in total have movie clips been inserted during this person's explanation so far?","['7.', '2.', '3.', '6.']","7.","A","D)","D",0.0,"Counting"
14,"How many times in total have movie clips been inserted during this person's explanation so far?","['8.', '2.', '7.', '6.']","8.","A","D) 6.","D",0.0,"Counting"
14,"How many times in total have movie clips been inserted during this person's explanation so far?","['9.', '5.', '8.', '6.']","9.","A","D)","D",0.0,"Counting"
15,"What are the green cones on the road being used for right now?","['Signaling road construction.', 'Indicating a lane merge.', 'Marking a pedestrian walkway.', 'Reserving parking spaces.']","Signaling road construction.","A","A) Signaling road construction.","A",100.0,"Object Recognition"
15,"What is the predominant color of the buildings' facades right now?","['Red and brown.', 'Blue and gray.', 'Green and yellow.', 'Pink and orange.']","Red and brown.","A","A) Red and brown.","A",100.0,"Attribute Recognition"
15,"What is the main color of the awnings above the shop windows right now?","['Blue.', 'Red.', 'Green.', 'Yellow.']","Red.","B","B) Red.","B",100.0,"Attribute Recognition"
15,"What is the food cart on the right side of the road selling right now?","['Hot dogs and burgers.', 'Ice cream.', 'coffe.', 'marshmallow.']","Hot dogs and burgers.","A","B) Ice cream.","B",0.0,"Object Recognition"
15,"What color are the buses parked on the street right now?","['Red and white.', 'Yellow and grey.', 'Green and grey.', 'Blue and white.']","Blue and white.","D","D) Blue and white.","D",100.0,"Attribute Recognition"
16,"What movement is depicted from the first-person perspective in the video?","['Moving backward on the street.', 'Moving sideways on the sidewalk.', 'Progressing forward down the street.', 'Standing still.']","Progressing forward down the street.","C","C) Progressing forward down the street.","C",100.0,"Action Recognition"
16,"What color is the jacket worn by the person on the left?","['Blue.', 'Red.', 'Green.', 'Yellow.']","Green.","C","C) Green.","C",100.0,"Attribute Recognition"
16,"What was visible on the left-hand side of the street just now?","['A coffee shop.', 'A brightly lit signboard of a restaurant.', 'A bookstore.', 'A clothing store.']","A brightly lit signboard of a restaurant.","B","B) A brightly lit signboard of a restaurant.","B",100.0,"Object Recognition"
17,"What device is the person currently using to capture the video?","['Head-mounted camera.', 'Smartphone.', 'DSLR camera.', 'Camcorder.']","Head-mounted camera.","A","A) Head-mounted camera.","A",100.0,"Object Recognition"
17,"What type of vehicle is visible in the parking lot right now?","['Car.', 'Heavy truck.', 'Bus.', 'Helicopter.']","Car.","A","A) Car.","A",100.0,"Object Recognition"
17,"What type of aircraft is visible right now?","['Helicopter.', 'Airplane.', 'Drone.', 'Glider.']","Helicopter.","A","A) Helicopter.","A",100.0,"Object Recognition"
17,"What is the person grabbing from the food basket right now?","['Chicken strips.', 'French fries.', 'Onion rings.', 'Mozzarella sticks.']","Chicken strips.","A","A) Chicken strips.","A",100.0,"Object Recognition"
17,"What navigational tool is visible on the screen right now?","['GPS device.', 'Compass.', 'Altimeter.', 'Airspeed indicator.']","GPS device.","A","B) Compass.","B",0.0,"Object Recognition"
18,"What are the hands doing right now?","['Arranging flowers on a table.', 'Rotating a decorative paper wreath.', 'Painting a wreath.', 'Holding a black screen.']","Rotating a decorative paper wreath.","B","B) Rotating a decorative paper wreath.","B",100.0,"Action Recognition"
18,"What is the machine doing right now?","['Pausing the cutting process.', 'Initiating a new cutting sequence.', 'Moving the cutting mat.', 'Changing the blade.']","Initiating a new cutting sequence.","B","B) Initiating a new cutting sequence.","B",100.0,"Action Recognition"
18,"What are the hands doing right now?","['Assembling cream-colored paper petals together.', 'Adding dimension by scoring the red petals.', 'Sorting finished cream-colored flowers.', 'Disposing of unwanted petals.']","Adding dimension by scoring the red petals.","B","B) Adding dimension by scoring the red petals.","B",100.0,"Action Recognition"
18,"What are the person's hands doing right now?","['Cutting paper into flower shapes.', 'Placing a finished flower with others.', 'Assembling a new set of flower petals.', 'Drawing a design on the cutting mat.']","Placing a finished flower with others.","B","B) Placing a finished flower with others.","B",100.0,"Action Recognition"
18,"What are the person's hands doing right now?","['Spraying water on the flowers.', 'Rearranging flowers and leaves on the wreath.', 'Cutting the flowers with scissors.', 'Painting the flowers on the wreath.']","Rearranging flowers and leaves on the wreath.","B","B) Rearranging flowers and leaves on the wreath.","B",100.0,"Action Recognition"
19,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '3.', '4.', '0.']","0.","D","D)","D",100.0,"Counting"
19,"How many times in total have movie clips been inserted during this person's explanation so far?","['1.', '3.', '4.', '0.']","0.","D","D)","D",100.0,"Counting"
19,"How many times in total have movie clips been inserted during this person's explanation so far?","['0.', '3.', '4.', '1.']","0.","A","A)","A",100.0,"Counting"
19,"How many times in total have movie clips been inserted during this person's explanation so far?","['3.', '4.', '6.', '0.']","0.","D","D)","D",100.0,"Counting"
19,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '8.', '3.', '0.']","0.","D","D)","D",100.0,"Counting"
20,"What is mounted on the lamp post right now?","['A camera.', 'A streetlight.', 'An American flag.', 'A traffic sign.']","An American flag.","C","D) A traffic sign.","D",0.0,"Object Recognition"
20,"What is the predominant color of the banners on the street right now?","['Purple.', 'Red.', 'Blue.', 'Green.']","Purple.","A","A) Purple.","A",100.0,"Attribute Recognition"
20,"What is positioned next to the road right now?","['Parking meters.', 'Trash bins.', 'Orange traffic barrels.', 'Benches.']","Orange traffic barrels.","C","C) Orange traffic barrels.","C",100.0,"Object Recognition"
21,"What is the dominant color of the pants the person is wearing right now?","['Beige.', 'Blue.', 'Black.', 'Gray.']","Beige.","A","A) Beige.","A",100.0,"Attribute Recognition"
23,"Where does this letter on the ground come from?","['It was delivered by the postman earlier.', ""It fell out of someone's pocket as they walked by."", 'It was dropped by a courier who was in a hurry.', 'Mr. Bean just stuffed it in.']","Mr. Bean just stuffed it in.","D","D) Mr. Bean just stuffed it in.","D",100.0,"Causal Reasoning"
23,"Why does Mr. Bean's sitting figure react with confusion or surprise?","['Because Mr. Bean interacts with the TV remote.', 'Because Mr. Bean gets distracted by a phone call.', 'Because the TV suddenly turns off.', 'Because Mr. Bean falls asleep while watching TV.']","Because Mr. Bean interacts with the TV remote.","A","A) Because Mr. Bean interacts with the TV remote.","A",100.0,"Causal Reasoning"
23,"Why does the wall have green patterns painted on it?","['Because the wall was decorated with a stencil and green spray paint.', 'Because the man accidentally spilled green paint while working on a project.', 'Because the man applied green paint using a teddy bear attached to a stick.', 'Because the wall was originally green, and someone tried to cover it up but failed.']","Because the man applied green paint using a teddy bear attached to a stick.","C","C) Because the man applied green paint using a teddy bear attached to a","C",100.0,"Causal Reasoning"
23,"Why does the person with multiple cameras leave the room?","['Because the person with cameras needed to recharge their equipment.', 'Because the person with cameras had an urgent phone call.', 'Because he has finished taking the photos.', 'Because the person with cameras spotted something interesting in the other room.']","Because he has finished taking the photos.","C","C) Because he has finished taking the photos.","C",100.0,"Causal Reasoning"
23,"Why is the queenly figure angry right now?","['Because someone accidentally spilled tea on her dress.', 'Because her crown was knocked off by a gust of wind.', 'Because the Mr.bean pushing the broom past her face.', 'Because Mr. Bean interrupted her speech with loud noises.']","Because the Mr.bean pushing the broom past her face.","C","C) Because the Mr.bean pushing the broom past her face.","C",100.0,"Causal Reasoning"
24,"What is the hand doing just now?","['Painting a landscape.', 'Blending the background colors.', ""Painting the subject's face."", 'Adding details to the hair.']","Adding details to the hair.","D","C) Painting the subject's face.","C",0.0,"Action Recognition"
24,"Which of the following best summarizes the painting shown in the video?","['A detailed painting of a woman with blonde hair on a dark blue background with a full moon and clouds.', 'A landscape painting with mountains and rivers.', 'An abstract painting with vibrant colors and shapes.', 'A close-up portrait of an elderly man.']","A detailed painting of a woman with blonde hair on a dark blue background with a full moon and clouds.","A","A)","A",100.0,"Clips Summarize"
27,"What action does the player take towards the cow standing in the grassy area?","['Feeds the cow.', 'Leads the cow to water.', 'Ties the cow to a tree.', 'Hits the cow with a sword.']","Hits the cow with a sword.","D","A) Feeds the cow.","A",0.0,"Action Recognition"
28,"What does the woman do after putting on the dress?","['Brushes her hair.', 'Put on her high heels.', 'Adjusts the mirror.', 'Picks up a jewelry box.']","Put on her high heels.","B","B) Put on her high heels.","B",100.0,"Action Recognition"
28,"What is the woman doing right now?","['Singing.', 'Dancing.', 'Smiling.', 'Reading.']","Dancing.","B","B) Dancing.","B",100.0,"Action Recognition"
30,"What type of headset is the man wearing right now?","['HiFi.', 'Reverberant.', 'No function.', 'Aviation.']","Aviation.","D","D) Aviation.","D",100.0,"Causal Reasoning"
33,"Why did the elderly woman step off the bus with a tray of tea?","['To serve tea to the bus driver during his break.', 'To offer refreshments to passengers waiting at the bus stop.', 'To deliver food to the elderly lady in a pink dress who has a foot injury.', 'To serve tea to passengers waiting at the bus stop.']","To deliver food to the elderly lady in a pink dress who has a foot injury.","C","D) To serve tea to passengers waiting at the bus stop.","D",0.0,"Causal Reasoning"
33,"Why is Mr. Bean in the hospital ward?","['Because he is visiting a friend who is a patient.', 'Because this is his fantasy.', 'Because he mistakenly walked into the wrong building.', 'Because he is participating in a medical study.']","Because this is his fantasy.","B","C) Because he mistakenly walked into the wrong building.","C",0.0,"Causal Reasoning"
33,"Why does the character try to manipulate the thermometer reading?","['To pretend to be sick.', 'To make the nurse angry.', 'To make the nurse laugh.', 'To test the accuracy of the thermometer.']","To pretend to be sick.","A","A) To pretend to be sick.","A",100.0,"Causal Reasoning"
33,"Why is the patient prepped for surgery?","['Because Mr. Bean tampered with the check, making himself appear very unhealthy.', 'Because the patient requested the surgery as a precaution.', ""Because the doctor misread the patient's medical chart."", 'Because the patient was mistakenly identified as someone else.']","Because Mr. Bean tampered with the check, making himself appear very unhealthy.","A","A) Because Mr. Bean tampered with the check, making himself appear very","A",100.0,"Causal Reasoning"
33,"Why do the babies start crying?","['Because they are hungry.', 'Because they need a diaper change.', 'Because the person in the wheelchair enters the room.', 'Because they are tired.']","Because the person in the wheelchair enters the room.","C","C) Because the person in the wheelchair enters the room.","C",100.0,"Causal Reasoning"
34,"Which of the following best summarizes the content shown in the video just now?","['The artist is painting a landscape with various animals.', 'The artist is sketching a detailed rooster using a pencil.', 'The artist is painting abstract shapes and patterns.', ""The artist is painting a rooster's head and body with vibrant colors and detailed brushstrokes.""]","The artist is painting a rooster's head and body with vibrant colors and detailed brushstrokes.","D","D) The artist is painting a rooster's head and body with vibrant colors","D",100.0,"Clips Summarize"
34,"What action is the painter performing at the upper left corner of the painting?","['Adding red paint.', 'Adding green paint.', 'Adding blue paint.', 'Adding yellow paint.']","Adding blue paint.","C","C) Adding blue paint.","C",100.0,"Action Recognition"
36,"What is the character doing right now?","['Running towards the center of the dealership.', 'Stopping in the showroom area.', 'Interacting with the computer terminal.', 'Viewing the car selection interface.']","Viewing the car selection interface.","D","D) Viewing the car selection interface.","D",100.0,"Action Recognition"
36,"What is the player doing right now?","['Interacting with the chat window.', 'Selecting a game character.', 'Browsing the job options list.', ""Customizing the game character's appearance.""]","Browsing the job options list.","C","C) Browsing the job options list.","C",100.0,"Action Recognition"
36,"What is the person in the webcam window doing right now?","['Narrating and interacting with a digital map.', 'Reacting to a tram station scene.', 'Waiting for the game to finish loading..', 'Switching between different screens.']","Waiting for the game to finish loading..","C","B) Reacting to a tram station scene.","B",0.0,"Action Recognition"
36,"What is the car doing right now?","['Turning left at the intersection.', 'Moving forward through the crosswalk.', 'Driving straight under an overpass.', 'Veering slightly to the right into a parking area.']","Veering slightly to the right into a parking area.","D","C) Driving straight under an overpass.","C",0.0,"Action Recognition"
45,"Which of the following options best summarizes the actions taking place just now?","['The individual prepared fresh lettuce by washing it thoroughly in a sink.', 'The individual took lettuce from a drawer, cooked it briefly, and then placed it on a preparation surface.', 'The individual retrieved spinach from a compartment, cooked it on a flat top grill, and seasoned it.', 'The individual prepared a salad by chopping tomatoes and cucumbers and adding them to a bowl.']","The individual retrieved spinach from a compartment, cooked it on a flat top grill, and seasoned it.","C","B) The individual took lettuce from a drawer, cooked it briefly, and then","B",0.0,"Clips Summarize"
45,"Which of the following options best summarizes the actions taken just now in the kitchen?","['The cook selected a frying pan, sautéed ingredients, and served them with a sauce.', 'The cook retrieved pans, prepared a mixture, and added a creamy sauce to one pan.', 'The cook diced vegetables, fried them, and placed them on a serving tray.', 'The cook heated a pan, added oil, and mixed it with pre-prepared sauces.']","The cook retrieved pans, prepared a mixture, and added a creamy sauce to one pan.","B","B) The cook retrieved pans, prepared a mixture, and added a creamy sauce","B",100.0,"Clips Summarize"
45,"Which of the following options best summarizes the recent activity just shown?","['The individual was plating a dish, adding final garnishes, and preparing the plate for serving.', 'The individual was cooking an omelet, flipping it multiple times, and placing it on a plate.', 'The individual was preparing a dish by stirring ingredients in a pan and adding various seasonings.', 'The individual was cleaning the kitchen station, wiping surfaces, and organizing utensils.']","The individual was preparing a dish by stirring ingredients in a pan and adding various seasonings.","C","A) The individual was plating a dish, adding final garnishes, and","A",0.0,"Clips Summarize"
