"video_id","question","choices","answer","correct_choice","pred_answer","pred_choice","qa_acc","task"
3,"What might the speaker explain next?","['The area of different shapes.', 'How to measure the diameter.', 'The concept of length in 2-dimensional shapes.', 'How to calculate perimeter.']","How to calculate perimeter.","D","D) How to calculate perimeter.","D",100.0,"Prospective Reasoning"
3,"What will the speaker most likely explain next?","['How to calculate the perimeter of the shape.', 'How to convert meters into centimeters.', 'The differences between perimeter and area.', 'How to measure the perimeter accurately.']","How to calculate the perimeter of the shape.","A","A) How to calculate the perimeter of the shape.","A",100.0,"Prospective Reasoning"
3,"What might the speaker explain next?","['How to calculate the area of the rectangle.', 'How to find the perimeter of a rectangle.', 'How to label the units.', 'How to measure with a ruler.']","How to find the perimeter of a rectangle.","B","B) How to find the perimeter of a rectangle.","B",100.0,"Prospective Reasoning"
3,"What might the speaker discuss next?","['How to calculate the perimeter of any regular polygon.', 'The significance of repeated addition.', 'The properties of regular polygons.', 'The importance of perimeter in geometry.']","How to calculate the perimeter of any regular polygon.","A","A) How to calculate the perimeter of any regular polygon.","A",100.0,"Prospective Reasoning"
3,"What might the speaker ask the students to do next?","['Calculate the area of the shape.', 'Determine the perimeter of the shape.', 'Measure each side length.', 'Convert the measurements to centimeters.']","Determine the perimeter of the shape.","B","B) Determine the perimeter of the shape.","B",100.0,"Prospective Reasoning"
4,"What is the primary color of the control panel shown right now?","['Black.', 'White.', 'Blue.', 'Grey.']","Black.","A","D) Grey.","D",0.0,"Attribute Recognition"
4,"What is the primary color of the mountains visible right now?","['White.', 'Green.', 'Brown.', 'Red.']","White.","A","A) White.","A",100.0,"Attribute Recognition"
4,"What is the main object visible outside the aircraft right now?","['A mountain.', 'An ocean.', 'A forest.', 'A desert.']","A mountain.","A","A) A mountain.","A",100.0,"Object Recognition"
6,"What type of fruit is being squeezed right now?","['Blueberry.', 'Orange.', 'Yellow Plum.', 'Apple.']","Yellow Plum.","C","C) Yellow Plum.","C",100.0,"Object Recognition"
6,"What is the man using to cook food in the pan?","['A wooden spoon.', 'A metal spatula.', 'Red kitchen tongs.', 'A fork.']","Red kitchen tongs.","C","B) A metal spatula.","B",0.0,"Object Recognition"
11,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '3.', '4.', '0.']","0.","D","D)","D",100.0,"Counting"
11,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '3.', '4.', '0.']","0.","D","D)","D",100.0,"Counting"
11,"How many times in total have movie clips been inserted during this person's explanation so far?","['3.', '5.', '6.', '0.']","5.","B","A)","A",0.0,"Counting"
11,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '4.', '3.', '6.']","6.","D","C)","C",0.0,"Counting"
11,"How many times in total have movie clips been inserted during this person's explanation so far?","['2.', '9.', '8.', '6.']","9.","B","D)","D",0.0,"Counting"
23,"Where does this letter on the ground come from?","['It was delivered by the postman earlier.', ""It fell out of someone's pocket as they walked by."", 'It was dropped by a courier who was in a hurry.', 'Mr. Bean just stuffed it in.']","Mr. Bean just stuffed it in.","D","D) Mr. Bean just stuffed it in.","D",100.0,"Causal Reasoning"
23,"Why does Mr. Bean's sitting figure react with confusion or surprise?","['Because Mr. Bean interacts with the TV remote.', 'Because Mr. Bean gets distracted by a phone call.', 'Because the TV suddenly turns off.', 'Because Mr. Bean falls asleep while watching TV.']","Because Mr. Bean interacts with the TV remote.","A","A) Because Mr. Bean interacts with the TV remote.","A",100.0,"Causal Reasoning"
23,"Why does the wall have green patterns painted on it?","['Because the wall was decorated with a stencil and green spray paint.', 'Because the man accidentally spilled green paint while working on a project.', 'Because the man applied green paint using a teddy bear attached to a stick.', 'Because the wall was originally green, and someone tried to cover it up but failed.']","Because the man applied green paint using a teddy bear attached to a stick.","C","C) Because the man applied green paint using a teddy bear attached to a","C",100.0,"Causal Reasoning"
23,"Why does the person with multiple cameras leave the room?","['Because the person with cameras needed to recharge their equipment.', 'Because the person with cameras had an urgent phone call.', 'Because he has finished taking the photos.', 'Because the person with cameras spotted something interesting in the other room.']","Because he has finished taking the photos.","C","C) Because he has finished taking the photos.","C",100.0,"Causal Reasoning"
23,"Why is the queenly figure angry right now?","['Because someone accidentally spilled tea on her dress.', 'Because her crown was knocked off by a gust of wind.', 'Because the Mr.bean pushing the broom past her face.', 'Because Mr. Bean interrupted her speech with loud noises.']","Because the Mr.bean pushing the broom past her face.","C","C) Because the Mr.bean pushing the broom past her face.","C",100.0,"Causal Reasoning"
